codigo	nome	tipo	area_enfase
ENGG53	Laboratório Integrado II-A	Livre	
LET054	INGLES INSTRUMENTAL II	Humanidades	
LET358	INGLES INSTRUMENTAL III N-100	Humanidades	
LET359	INGLES INSTRUMENTAL IV N-100	Humanidades	
LETA28	INTRODUÇÃO À ANÄLISE TEXTUAL	Humanidades	
LETB34	LINGUA ALEMÃ EM NIVEL INTERMEDIÁRIO	Humanidades	
LETB35	LINGUA ALEMÃ EM NIVEL AVANÇADO	Humanidades	
LETB37	LINGUA ESPANHOLA EM NIVEL INTERMEDIÁRIO	Humanidades	
LETB38	LINGUA ESPANHOLA EM NIVEL AVANÇADO	Humanidades	
LETE46	LIBRAS-LÍNGUA BRASILEIRA DE SINAIS	Humanidades	
LETE54	INGLES Instrumental II	Humanidades	
LETE48	LIBRAS I - LInGUA BRASILEIRA DE SINAIS NIVEL I	Humanidades	
LETE21	REDAÇÃO EMPRESARIAL EM LINGUA INGLESA	Humanidades	
LETC84	LEITURA DE TEXTOS ACADÊMICOS EM LINGUA INGLESA	Humanidades	
ECOB40	Introdução à Economia	Empreendedorismo e Inovação	
ECO173	Economia Brasileira Contemporânea	Empreendedorismo e Inovação	
FCC024	CONTABILIDADE DE CUSTOS	Empreendedorismo e Inovação	
FCC001	CONTABILIDADE GERAL I	Empreendedorismo e Inovação	
